RCM-1	SW837	SW1463	SNU-61	CaR-1	SNU-283	ECC4
C2CD4B	2.57946580015765	7.14703085951724	10.5525928895323	5.83594671491757	4.41006865124687	8.74970499817636	12.496468924719
PCDHGB5	3.49488639553652	5.8728172040997	5.53419752249929	5.06398072141012	6.19084368425077	5.46260015430654	5.92067221100007
HIST1H2BH	5.32381829123245	7.5240811394714	3.78172463900828	6.96809392194836	6.33786370782972	6.43089303022444	8.74461235044832
PCDHGB1	0.134656261108013	0.221581915076235	3.00619998735344	2.92581143412136	0.243088906742631	3.11669723180359	0.269940924007076
DNAJC12	9.30704827963285	7.9291098309236	7.34561368776499	8.51609280628561	5.16303510496421	5.65967065793532	12.5869900067078
ZNF835	3.96375112740455	6.42395644810251	5.43777760060134	7.3766924819792	5.20654389282752	6.15748174948893	5.77709794191766
PYGO1	1.33894108283351	4.51695479924184	3.94166087445357	6.5151535913033	3.11159847391238	3.36191461096647	1.64656228489159
PNMAL1	2.88931075359433	2.19367972695527	5.58759374335071	6.58534630666419	3.97326028399287	2.96112230208336	4.93127861312666
RPL9	12.519720268424	12.1877241984649	13.0373368054727	12.6588782714219	12.8561500466732	12.4736144501666	11.9663460226684
EPPK1	9.11446013761774	9.05297786554575	8.76912340610067	8.78500695256002	7.6534608070518	9.95442395366639	6.81465367348621
ALG1L	6.75393130088993	6.83825168431737	6.31063474202258	7.74200748805051	5.3565357433339	7.53791500409725	7.1008855282372
CLDN3	11.1092745691671	10.2636179545883	11.2373948514188	11.455645314185	9.94432507858922	12.3414557554831	10.3113331616363
ST8SIA1	2.8616169582356	0.884741588095974	1.5377858243632	0.857061035390359	0.747377988385436	1.57674866735654	0.687385454802929
HOXA10	10.2716842317169	10.4928373332176	10.7934644888864	11.535291689566	10.4434748357046	3.34646351562793	12.8490527814702
AREG	11.8369325001597	9.19503663851851	9.01767676815712	9.93882510742739	10.4396804896143	7.73608674832844	2.4599364373723
MLXIPL	9.51303826727782	8.8232174655658	11.749196597046	9.00819086203884	8.02891413837764	10.6135228094921	8.72978544998949
MUC16	3.06159574613261	7.28052326512863	6.2349986318914	2.77409561519415	9.93149999928637	7.14505384963353	9.22498517102719
ADAMTS15	6.17659116292415	5.6973236042884	5.27227874627415	6.19841372496586	6.00430876600669	7.07663833499066	7.13441813284392
HBB	7.08808422082906	2.60912192479271	1.09270966550907	1.37850780924433	6.13823296866341	0.306501540346933	1.08149952439894
COL1A1	6.96668870157578	6.64732091009221	5.9545323078922	5.99320539004073	6.89085836313954	7.22007338779972	5.68302115318771
COL1A2	3.19770842679507	2.7221116009087	3.34646351562793	3.09032952678102	4.38927499817165	2.88931075359433	2.69087702655104
SPDEF	7.75323495223186	7.31241180351144	7.96285620945103	8.23308708716699	6.79609563213259	8.62828998949174	7.80273462240756
C3	6.1139885069963	8.24360328916322	6.1023359975593	9.05770783102115	13.4663140039091	6.44049687805684	4.91372626677977
COL3A1	0.708379134748427	0.848680607630637	2.71575507655172	0.0854218456614466	0.123078247095192	0.53516680612971	0.181765263697776
LYZ	11.030292055249	0.539721875740836	12.366151894711	8.81972059521329	1.2592719843253	10.1543761063658	7.88873136550524
CTSK	8.44229503736933	8.60265655442434	8.03463818149644	9.30105497526764	8.31602739054772	8.76604233435653	9.08527053655073
CRYAB	7.52466064390684	8.15120778340154	8.03513311670521	8.04555673424337	8.01620529718518	7.67321652309667	7.81899473850461
SERPINE1	8.23451904863653	8.04705311381145	7.58437387728609	7.47948742881381	9.81147073666607	7.16684700072188	8.02468391524288
AKR1C3	12.4415939859141	9.20530407924465	13.4600930728511	11.969564061219	8.77176607579128	12.504144429445	11.6242803276982
TSPAN7	3.93857948467356	0.976730068651113	9.91370793750198	4.3937780293975	0.846754552733859	10.4069031250508	3.7042728075196
LUM	0.725382970697649	0.825776491428768	1.54739107563977	1.73612923568885	0.467395396320224	4.00721128081086	0.197921538813666
CLU	3.36350642149927	3.70590394560984	2.9017394770717	1.04069314966044	5.24008016182834	2.18441809200723	1.67921870765556
IFI27	12.992232898522	13.7968385205227	11.8937735805996	13.2156676579091	3.66812338104362	11.3699581223967	1.73815778032775
CD24	10.349544064652	10.9922880268635	12.3127155085902	13.5513451758233	13.3936245147904	14.2639487473584	14.4974022778106
SMOC2	4.44847042707539	2.25245848366937	7.77831277512065	1.50132574208826	8.43583259038411	8.42889812748165	11.2157633029866
SLPI	12.2976712132885	11.1826853591803	9.75347109402879	11.7296367804209	11.5474414328496	13.607615301842	14.0060211196225
TNC	0.844794767718245	4.32256403008778	0.0201852793152796	1.20287519739978	10.3103001020636	2.38815711325503	2.62606142834153
PIGR	1.70597883565953	2.12121829614662	1.09504042654227	10.193935689885	3.35699464750257	14.3175315328396	1.92081363313163
ID1	12.8561500466732	13.7457059277124	7.53041712961602	12.8561500466732	11.4964518416857	10.0438870740557	11.2744839513653
MGP	5.4731327740597	5.35290500799252	5.73574704906732	3.85299266729933	8.00166728607426	6.69912204566854	5.25247499435473
GJA1	1.90495232067664	1.30738047275879	2.28557381274266	3.20822323252951	0.992723817217699	5.64736624307479	0.265683726732925
MET	8.9541307545902	8.73953791065475	7.77351774384269	9.06116081010228	8.67564914902326	7.93242652271228	7.2013645857388
PKDCC	9.39635576045266	6.97589869558666	10.4278361220281	9.75478706693644	6.64811172359089	10.8878102185826	8.81751172518534
MT1E	1.91085293479165	9.69420861036994	3.6744923378724	7.81215782488926	8.9206669564765	7.58776683211909	8.35825489561468
SCD5	9.07279763175938	9.45976553801863	8.88619737849269	7.26534033283697	11.4795666475448	7.69397965409338	6.59609055849973
F13A1	5.32138182623354	6.47067716769828	7.68797616563093	6.78847173956254	5.06274059339103	5.61252199241822	7.30679683212773
FCGBP	6.07981177086013	8.64169988884615	9.83697748291659	8.5033384704815	6.66496692743554	13.7707462660635	7.46012318631599
S100A9	2.74331568477786	5.38544127229666	4.50106823742756	7.92936012721017	10.6831119365152	4.48358684574787	3.56772402896029
ISLR	2.47835719296052	2.35165008083259	2.60337489491774	0.329090030811833	2.33993095264299	1.39867243760437	3.3753080175845
SDC1	9.86802088593444	8.77001319300431	9.90238565093363	10.0631484485782	9.31474691838621	10.5543171289713	8.66674330402025
ADAM12	4.87211949968209	6.45860998089526	7.14703085951724	5.53822306611521	5.39369893344671	7.29240243403654	6.29972634133267
CRABP2	7.57425954306099	9.69813461274052	7.09621415094158	5.8370275954559	5.00538489330788	6.52447478618494	6.41697044314231
ANGPTL4	7.47013649171117	7.90885433619435	8.01971144042171	7.7772462299507	7.39272782039814	8.32875308914823	7.53447991909264
SERPINB2	1.61853199793073	5.00141046881394	1.51186054019126	0.00470012390836309	12.6353526664724	1.44990347415049	1.9129371422055
GDF15	12.7103189559106	13.1910831312836	12.7676676483511	12.7195776360516	7.49988740481974	12.6768505084755	15.5613790802076
FABP4	5.10123278434116	4.18424550267882	3.47259397634395	4.19042337857132	4.79303022673213	3.49997185104375	2.60149697561573
ADM	10.4680217835488	10.6557814814932	10.9678902637341	10.7095941821525	11.5146400808001	10.4369823627859	10.6029499016944
CLDN4	12.3348057063105	11.6218940846213	11.5254853100273	12.8633057881108	12.5568699345453	12.2171173374439	11.7039575994002
GATM	3.16254727029854	3.86131560709694	7.63078248902693	6.35763717981621	7.23863313200379	7.46072838261218	2.21516003228408
RASD1	5.79643697619649	3.62536677385779	5.24132638528546	7.52352154558069	1.55610768344661	1.58264372670784	8.99176322308925
EPCAM	13.364866678018	13.0716221429649	13.041559227795	13.2928876945205	12.5434431721173	13.2876072704645	13.7793365439268
PDK4	5.17879883843882	7.59170830914415	5.1901292025882	0.290219832986544	6.45946172436577	8.86916776256189	10.3087670818706
DES	7.91962180526906	7.91654431062252	7.76710242359184	6.95808272605512	7.17209520438309	7.57028109140305	7.28802945193299
PPP1R1B	10.24954317838	3.35699464750257	11.2234774881865	11.1317334929828	1.42950044618339	12.483703609203	7.45544699378999
GREM1	3.61794136709135	5.51399802473928	2.91298804060235	2.57384830134714	5.08331484842945	6.73761929085215	5.44606411918889
ANPEP	6.95239840040407	6.24523622883495	8.02318381731229	6.82857189083695	5.10887353171856	7.77885111995019	3.57435418376569
AHNAK2	10.2671277677893	11.8908174378908	4.06837681845837	8.66539635387305	8.26309285707794	6.14493793542548	1.97201454646537
PCSK1N	7.58324838781976	8.14974707365502	8.50469853002376	7.15236086515511	8.31555738877876	7.39665931556011	9.57382720952835
PLAU	9.31474691838621	8.9506556889992	8.62694827843957	6.51432534683107	12.3868693795864	8.21495893604347	6.05611647739008
CDC20	10.8960734561641	10.7077493622783	10.7276429839968	11.4463870966405	11.1471890971881	10.8483302149019	10.7637820173825
PRAME	7.02848234533032	7.74200748805051	0.188491394605935	1.87087221896166	8.65868274361345	3.90466575825164	2.99916135015522
COL5A1	7.48006732995728	6.62060185988539	7.62854283049182	7.23738957703959	8.48000785604894	5.36977829583759	7.31426715662304
APOD	5.58144899340405	5.58316916555774	6.90475025198276	11.2217592484161	4.73511308558456	6.33328643697011	7.62523216233118
TACSTD2	14.1510786033983	13.7293665584427	7.99614338757466	13.4981674269463	14.4974022778106	12.8778487101305	7.63687935709351
FOSB	6.66976413856333	5.10509007327483	4.50680954892307	7.15236086515511	5.57047475041069	6.15552428230883	5.66310931904161
RBP1	5.34205007640901	2.30224892523319	6.95667822179487	3.92735228931126	5.24624076047314	6.8233258495004	9.1200549243821
MT1G	9.5151933323622	9.35535820058143	9.96083847102206	9.17450120029947	5.67194246821711	8.16967346909656	6.570456147291
CHGB	5.67527486954617	5.97195744753013	6.5049997616433	6.59525539527802	5.44129035284929	5.89584100171455	13.050021280254
IRF4	2.56998848152852	4.3614641378564	4.6116306444571	6.04729179304491	1.64656228489159	6.45693666911683	5.08200285415335
EFHD1	5.14071546089114	5.74879128925945	4.28932277233761	4.33900003053942	5.23507450916747	2.69565644999028	1.0259220933002
NQO1	13.7623824766919	13.4234809912949	12.4031502108548	13.8870636785113	12.5595682212144	13.7457059277124	12.527523046516
PPP1R3C	6.37099264411149	4.85851368144412	7.29742416149276	5.68412072895422	10.8740866615547	6.94239169121419	6.22471085840732
SFN	11.4392135484833	11.0003875283506	10.8591495797925	11.3718968706795	11.2029121996338	11.0561265935037	10.402656567243
ELF3	12.0219636523591	11.7426256004377	11.393283722425	12.9722483666742	11.9458293806192	12.8246272201429	11.6838988501879
CD109	7.42234996362219	9.14707435335414	5.32381829123245	4.9298770011754	11.5039030816434	5.99525848632161	5.86327759450307
HSPB7	6.99071290255487	6.31515231363265	6.88277390147267	7.44841282791747	6.75547372687976	6.70312501450474	7.60739416804421
PLEKHB1	8.00319258839302	8.3796985153727	8.12341982041997	6.73371583745481	9.30619455468816	8.55252377352289	9.23570870670985
SLC4A4	7.11364376380565	6.70544999209356	7.44721485138949	7.59454907546313	5.81367895217202	5.54172716085968	8.18320779607302
CXCL14	7.42589228716921	7.34375239643234	7.44486551829957	7.54588764841725	6.71492319578291	6.7165160520201	7.22071753262418
CDO1	0.559031045396743	0.599081819073466	2.01902362713598	2.19367972695527	1.95193051776385	0.554635126795578	0.172338103996966
WFDC2	4.76818013630452	9.46793447790756	7.80693070508543	3.14513803318891	11.1180160135116	8.39965413252985	12.7481775895582
FOLR1	8.79776441585725	8.34797477380217	5.18884775806458	8.65287939074834	8.24551094383076	6.22378285599883	6.48012407204336
FGFR3	3.64305176999644	4.70161726620013	4.79573217360348	5.93302601361967	3.88065067171682	4.41304354065325	6.14779103214155
C7	5.53361693479233	5.8018456170916	6.53290763010297	7.17667003690163	6.03631483680579	3.10814334801817	5.98405029714113
OLFM4	3.08853139497003	6.43089303022444	11.0340618199267	4.01809104611458	7.3148685676514	13.504562794984	5.32381829123245
RBP4	6.02230375852498	6.93159100621195	4.42054229875487	10.0504417363989	3.35172375305663	1.89235038867442	9.56695321896312
SLC27A2	10.3282780620466	11.0801062677941	10.8032863164526	11.5653416186209	11.0500066301496	10.815086290736	9.89470135114738
PRUNE2	2.52622852048975	2.44909963038188	7.07115496488297	7.58100061012051	2.56427911521401	7.92936012721017	10.8170655928171
CDKN2A	12.4295117935223	12.3938395780775	11.8102180467726	12.0663477034983	4.16119482932424	11.3874092553283	12.6828322871521
PLAC9	6.5236342762567	7.43008469488018	7.30056347228997	7.40982638852054	6.72352894167306	8.32969492468869	7.76123263871285
S100P	14.3741616019167	12.6411577988207	13.7375266954591	14.5138210067606	11.5720909842769	13.7793365439268	14.7803762687238
NLRP2	7.01310141864859	7.07865446835524	9.0288681114157	6.47322664825199	5.62829850934358	6.54709441394243	3.92735228931126
PEG10	7.41161296761316	5.12159552297667	6.06998719686616	6.29972634133267	6.17278079626922	4.39078296850397	10.5657987019072
GALNT14	2.27404294786681	1.92902822957707	6.54216829393611	6.20219080891235	10.1768059253548	2.86712410753313	7.8602777090311
NPNT	5.30913621300732	3.64832046613669	6.69597743307899	6.76935740312516	2.66593737867735	5.98405029714113	4.90167675262609
CFI	7.21301210846941	7.4241413304956	7.41161296761316	5.57743344342048	6.91201730305927	7.81686887861432	7.03408228393762
FABP5	10.984973847463	10.410125057656	11.4190800022588	11.5298337088517	8.94195550813966	11.7077829815543	12.1143715238248
SLC1A2	2.7321840732543	3.95903399330406	4.8922570569005	2.85801818786262	2.66014314660593	3.69436271546958	2.92020821209069
TFF3	11.4021846095873	6.22285599055308	13.9545015135868	7.75855421722132	3.41299046757028	13.9152768361028	13.5582319044836
NRN1	6.40991225374192	8.06244554624811	8.65376612905177	6.69201877423789	6.22099932958275	9.74643104537228	7.58776683211909
SCRG1	4.52419014152256	5.8211185532391	4.46093741597345	5.4247681294077	3.04991855891531	2.51790744293519	5.81579177872015
CHRDL1	2.46879620280612	2.25618093895025	1.84374939344439	1.31677073632362	2.09661650473606	6.58867946922629	1.65912803818233
PSCA	6.70466066110342	8.231191584986	4.86525652624516	9.00517594675547	4.40559455943368	8.07184572749305	5.3818728833175
MAPT	6.29512796135982	6.50838540434904	6.73256344598466	6.7547228921844	6.62629830909618	6.13532396527439	6.94239169121419
C1QL1	8.59141001771467	9.63364134935379	9.29548940859059	8.78060242419366	9.58163401702609	8.78368511707874	8.79205176275327
APLP1	6.87837128525922	7.65566221266771	3.25960883104109	5.29079763840388	5.53477811020626	3.71574911447531	9.92371288758268
S100A2	10.0476218048284	9.84818657929129	8.59141001771467	8.94281567736659	9.40622699597231	8.03613122198245	9.5334684208205
BEX2	6.76012112625121	1.25094134185039	7.87941086338843	6.52279964486003	8.25784795880424	6.9602295594665	9.30020080621393
ATP6V1B1	6.63275449681979	6.53627934712441	3.72392158015601	7.31241180351144	7.47420060513667	6.99562847586589	9.19205812392634
SDCBP2	9.10500141459801	8.94131390182332	10.0335775778188	9.22370610938647	7.78948192267747	10.8635483744374	9.43665646002585
LPL	2.39024056531099	1.16100582452631	3.03097009650987	3.07948477399118	5.91860103537929	7.33948618774707	3.55245947153973
RNASE4	7.98208905934358	6.08867631026922	10.2171016133603	10.3631254976359	7.83311669479283	10.7120644697479	4.03225430443673
REEP1	5.83281277532468	3.89833310681275	6.56466790585265	3.40797314805672	8.83110881353621	9.63321350422541	10.3231190258491
DUSP26	6.34595867673065	6.70391328829052	7.46012318631599	7.14505384963353	5.74552376040872	7.6721352144423	7.00056294625338
KYNU	7.72641516789739	6.51347363208011	6.27027627115931	5.28343538491951	12.3436855684122	7.59227157552913	7.27733289024915
ASRGL1	7.12438731735361	7.49113970375649	9.3766822825602	9.77511598171264	8.31509535163516	9.48642544041888	10.0844076164485
AKR1C1	6.88427126362566	8.28491391477159	7.84750838189912	7.16750053003635	5.03267372400264	7.31053066411024	8.91281230740088
GPRC5B	3.57266457661913	0.249898772081364	1.12413567035483	3.70907597542708	3.67938756257356	5.28343538491951	2.98107070124763
MYOZ1	7.35360169332939	7.11969429639653	7.57425954306099	7.42886466381631	7.4495833076755	7.25840149509756	7.36272157724537
CCND2	7.58100061012051	7.27294094727626	9.50443643813169	10.2515422342532	5.33356346288564	9.90463560017237	5.29930625319623
KCNN4	9.51475618871696	11.9133766635479	10.3036234302014	9.93744811777261	10.6745657047563	10.9711582401373	5.23507450916747
TNNC1	9.07667245010683	9.14493274864448	8.38805784867798	10.2916374250944	10.2565854323324	8.43073592049266	6.12466857435039
DNALI1	6.60753461846152	7.18448449200373	5.78890869339351	6.43089303022444	5.08840753605547	7.00756695226251	9.86350064206241
PRRX1	7.38215258198472	5.04303950446259	6.31335225896629	5.4859972861549	4.51552377439665	7.66937028349136	5.34442011598113
CXCL1	9.92280773633987	8.91629994408374	5.9861540144867	9.8222036127719	13.0207642744011	2.80549123485131	6.57956627158869
PRSS3	11.654275421637	10.106711972034	11.6218940846213	11.4785144997585	9.23782663704259	11.6838988501879	4.75994738563186
ETV4	9.78881221799212	9.52764711323451	10.9603174422469	8.84163546897299	8.5656637694707	9.01466025795455	9.91778375679854
LRP4	7.71451242415065	7.81477935117723	11.343338301365	6.1594034486685	7.45133804173477	8.72446933481827	9.65712710064088
BEX1	5.28343538491951	6.43265257254772	4.59879122122825	6.4055272205725	6.33241038392008	5.91860103537929	8.85562604781247
CSTA	7.59059534961409	7.98208905934358	7.34437219984084	9.38225290095342	5.85170820058382	7.39181318420487	7.1707568990726
LAMB3	12.1179912762476	12.2701340433598	10.5965330208982	11.6518443340513	13.0373368054727	11.0348252365117	5.30538296806287
MAOB	10.109101709773	4.51120133065213	3.65398879362245	5.88323404774213	0.337482279759317	4.05722767410149	1.31677073632362
FBXL16	10.2903701611828	9.25236845684163	10.5349392723249	8.36244844043417	7.75269295643333	9.6558111109156	11.0599416402873
CPXM2	4.85720836314592	7.39665931556011	7.60739416804421	5.26986690743318	4.69880570458873	5.19638981775315	6.30334206975237
MSLN	9.86035819252657	9.96497139374118	8.38945432329165	9.43623303972808	7.22007338779972	7.29490069385585	6.42308202052517
HOMER2	5.62606483105567	1.45084895671453	5.59447705592784	3.96857701051332	6.13724338668265	4.72381994207968	2.03594573320629
MOXD1	2.46178044209763	4.11644402645526	2.47931429084215	3.83668955288883	6.08771613965997	2.98652298169804	7.28115458564436
SV2A	6.73296146923849	7.36394542345978	7.4777308203345	7.36939839968572	7.10898223194024	6.95738268606773	8.17885686945977
MMP9	4.33595503846821	1.73195569549198	0.69465477596082	1.22840599847149	5.74552376040872	6.80823429951554	8.24979116380519
TF	4.45285309292062	4.95500266397053	2.77589445797312	3.82392478341499	4.45726243023452	6.22754130943571	4.69735549420447
ATP1A2	4.0729939364587	3.96375112740455	3.4638924055949	6.87027183835351	3.40450385022278	4.65114879991944	6.30149849337205
MAOA	10.3026135885256	9.64753798964034	12.8633057881108	12.8350489590534	11.2870732277603	13.364866678018	10.3825945002259
CD79A	4.02124216077784	4.69598269783714	6.91710749895827	6.92292450344563	2.73776305847478	4.95099846082735	5.07300544603556
INA	3.18534925957318	1.95613793026749	1.30738047275879	0.519674102120476	2.0093598967049	6.3860969619265	8.53478105777336
IL1RN	8.28254569095347	5.96886334198547	6.24570075930884	9.06458928184516	9.62973648658429	3.39778898700734	3.15560634747766
GPRC5A	12.1974605854508	12.2976712132885	9.77555875495972	12.6295554457543	12.2618152736873	8.70851914882094	7.58494659904412
ASPN	1.11565751272653	2.53764860985156	0.156234907056677	4.01972891984416	1.09936904698267	0.14022086903887	0.227344125956306
ABI3BP	2.68265912409465	2.13482108413032	2.02842064316763	2.18079433312493	6.74231330519423	0.828037673044806	1.69989801479544
TREM1	1.28484676188974	0.177054772053851	3.52052034347977	2.59770831111896	0.298257016256372	2.97212538629294	7.52236737698232
MYCN	6.73685934841823	5.84441747751619	6.51090703349015	4.98423464211462	7.21174150397711	4.68069499917929	6.91239472930032
TMEM176B	10.5825897706649	8.98206692851379	8.22309230083263	6.17560627528508	6.36120388217026	11.8019074044273	12.1308470745334
CKMT2	7.55900015412542	9.9168755972658	11.33764247623	0.913601506597167	0.306501540346933	1.16100582452631	1.95815464820347
AIF1L	5.55897298657616	4.89903030900068	4.78329754523495	5.11655428137026	4.05566962139001	1.73815778032775	4.79573217360348
IL1B	4.81760022265873	7.7226103558379	6.80899167616539	7.06640527558088	10.6898061114723	6.13627033585478	6.66093086204601
CXCL9	3.31674550352509	0.348448090741313	3.07229481363433	4.51402714721856	3.2944568098049	2.67881164028128	1.99965370482855
BCAN	0.550360842696291	2.00741899176654	2.24870798248965	1.69360079842877	0.159910898824803	4.42639999813513	2.7869761921781
NPTX2	3.10448504809709	6.02531075734938	2.4000210907082	1.97201454646537	0.492922448456441	11.0011277739988	2.52323569894154
STEAP4	7.97855939876479	8.74528190849511	5.4247681294077	8.18946666874229	11.2843598645147	2.74146959196916	5.275325961613
CGNL1	3.91121353067261	2.93101138949974	4.02124216077784	5.20529216744374	3.96375112740455	7.24564533636724	5.05482862105027
MME	4.94897928174491	1.69989801479544	6.66660496667387	1.26700526965649	0.296611977436753	4.12099222524464	3.37353422807043
VGF	8.76384310256498	7.65070912478241	8.01921949561148	8.39409843893797	7.99313696057464	8.40659974681695	12.6179896108077
SCG2	6.0541732611704	3.80130598543496	6.02833552822885	2.93455369724408	2.15177371367847	3.68110269521465	14.3175315328396
TRIM29	7.3148685676514	8.61842691487836	6.11110158187249	7.42708256543227	7.06435248646198	7.56747571571835	6.51259943630777
PTPRN	3.34107020136691	5.39249709070897	4.43962497354796	5.8264020060167	6.62954765158626	3.48104293747505	5.77282609066963
SPOCK1	1.06198271104468	4.12721853297552	0.758266775489458	1.06198271104468	4.71126228360552	1.06198271104468	13.8681697950993
