Sample_ID	Coordinate1	Coordinate2	Sample_Type
TCGA.06.0145	0.322089432548731	0.230585917279619	Tumor
TCGA.06.0151	0.0378466699816871	0.474005970839656	Tumor
TCGA.06.0152	-0.199421395014563	0.315592022813208	Tumor
TCGA.06.0154	0.474606265695492	0.104515656335667	Tumor
TCGA.06.0155	0.38624951704712	0.129969798499868	Tumor
TCGA.06.0157	0.416415267126303	0.0924308169197273	Tumor
TCGA.06.0158	0.316968921455548	0.509125770667054	Tumor
TCGA.06.0165	-1.3125589573169	1.70439973286111	Tumor
TCGA.06.0166	-0.304820010386821	-0.0935956806738516	Tumor
TCGA.06.0168	-0.00754214437228758	-0.212463673077904	Tumor
TCGA.06.0169	0.424751278245141	-0.0761612930721601	Tumor
TCGA.06.0173	0.205267538930943	0.337826461531985	Tumor
TCGA.06.0174	0.179368227862006	0.327888002736494	Tumor
TCGA.06.0178	-0.693544316946709	2.03699515002459	Tumor
TCGA.06.0184	-0.441668167369254	-0.32784671360156	Tumor
TCGA.06.0185	0.371366617930325	0.186486710412977	Tumor
TCGA.06.0188	-0.433897449252901	-0.128003933516786	Tumor
TCGA.06.0189	0.230100676784188	-0.102175120228489	Tumor
TCGA.06.0192	-0.279390221634952	0.189975850461468	Tumor
TCGA.06.0195	-0.422851472270353	0.0069291988789654	Tumor
TCGA.06.0209	-0.075136935919815	0.279741335084194	Tumor
TCGA.06.0213	-0.158145696652712	-0.570411713065456	Tumor
TCGA.06.0214	0.124390830926901	-0.438228140214078	Tumor
TCGA.06.0216	-0.275454878495939	0.396650469331255	Tumor
TCGA.06.0219	-0.155807383836023	-0.770550478893712	Tumor
TCGA.06.0237	-0.271315064073767	0.241727181411293	Tumor
TCGA.06.0238	0.0724944468687296	-0.315640225300674	Tumor
TCGA.06.0240	1.24246096762912	1.20569749839525	Tumor
TCGA.06.0241	0.0332810569277172	-0.425837398951245	Tumor
TCGA.06.0644	-0.186248438377349	-0.312871199534069	Tumor
TCGA.06.0645	0.00868138023989845	0.60750905731048	Tumor
TCGA.06.0646	0.475794378033447	-0.245124973885346	Tumor
