Alteration	HCT116_LARGE_INTESTINE	HT29_LARGE_INTESTINE	HCT15_LARGE_INTESTINE	KM12_LARGE_INTESTINE	CCK81_LARGE_INTESTINE	HS698T_LARGE_INTESTINE	LS513_LARGE_INTESTINE	SW837_LARGE_INTESTINE	RCM1_LARGE_INTESTINE	HCC56_LARGE_INTESTINE	NCIH716_LARGE_INTESTINE	HS675T_LARGE_INTESTINE	COLO320_LARGE_INTESTINE	CL11_LARGE_INTESTINE	COLO678_LARGE_INTESTINE	CL34_LARGE_INTESTINE	SW1116_LARGE_INTESTINE	SNU1197_LARGE_INTESTINE	LS123_LARGE_INTESTINE	SW403_LARGE_INTESTINE	LS1034_LARGE_INTESTINE	SW1417_LARGE_INTESTINE	SW948_LARGE_INTESTINE	NCIH747_LARGE_INTESTINE	SKCO1_LARGE_INTESTINE	LS180_LARGE_INTESTINE	NCIH508_LARGE_INTESTINE	LS411N_LARGE_INTESTINE	LOVO_LARGE_INTESTINE	SW620_LARGE_INTESTINE	DLD1_LARGE_INTESTINE	SW1463_LARGE_INTESTINE	T84_LARGE_INTESTINE	SW480_LARGE_INTESTINE	COLO205_LARGE_INTESTINE	C2BBE1_LARGE_INTESTINE	SNUC1_LARGE_INTESTINE	SNUC2A_LARGE_INTESTINE	RKO_LARGE_INTESTINE	HRT18_LARGE_INTESTINE	GP2D_LARGE_INTESTINE	SW48_LARGE_INTESTINE	OUMS23_LARGE_INTESTINE	SNU503_LARGE_INTESTINE	SNU175_LARGE_INTESTINE	SNU81_LARGE_INTESTINE	SNU407_LARGE_INTESTINE	CW2_LARGE_INTESTINE	SNUC4_LARGE_INTESTINE	SNU283_LARGE_INTESTINE	SNUC5_LARGE_INTESTINE	SNU61_LARGE_INTESTINE	SNU1040_LARGE_INTESTINE	HT55_LARGE_INTESTINE	MDST8_LARGE_INTESTINE	HT115_LARGE_INTESTINE	CL14_LARGE_INTESTINE	CL40_LARGE_INTESTINE
DDX11L1	0	-1	2	-1	2	-2	1	-1	-1	2	0	0	1	-1	1	0	0	1	1	1	0	1	0	1	1	0	-1	-1	-2	2	2	-1	0	1	1	0	1	0	0	-2	-2	0	-1	0	1	0	0	2	0	2	2	-1	0	1	-1	1	1	1
FAM138A	0	-1	-2	-1	0	-2	-2	-1	-2	0	-1	0	-2	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-2	0	-1	-1	-2	-1	-2	-1	1	1	-1	-1	0	0	0	-2	-2	1	0	1	0	0	0	-2	0	1	0	-1	0	1	-1	1	0	-2
FAM138F	0	-1	-2	-1	0	-2	-2	-1	-2	0	-1	0	-2	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-2	0	-1	-1	-2	-1	-2	-1	1	1	-1	-1	0	0	0	-2	-2	1	0	1	0	0	0	-2	0	1	0	-1	0	1	-1	1	0	-2
WASH7P	0	-1	-2	-2	0	-2	-2	-2	-2	0	0	0	-2	-1	-1	-2	-1	0	-1	-2	-1	-2	-1	-1	-2	0	-1	-1	-2	-1	-2	-1	0	1	-1	-1	0	0	0	-2	-2	0	0	-1	0	0	1	-2	0	-1	0	-2	0	1	-2	1	0	-2
hsa-mir-1302-2	0	-1	-2	-2	0	-2	-2	-2	-2	0	0	0	-2	-1	-1	-2	-1	0	-1	-2	-1	-2	-1	-1	-2	0	-1	-1	-2	-1	-2	-1	0	1	-1	-1	0	0	0	-2	-2	0	0	-1	0	0	1	-2	0	-1	0	-2	0	1	-2	1	0	-2
OR4F5	0	-1	-2	-2	0	-2	-2	-2	-2	0	0	0	-2	-1	-1	-2	-1	0	-1	-2	-1	-2	-1	-1	-2	0	-1	-1	-2	-1	-2	-1	0	1	-1	-1	0	0	0	-2	-2	0	0	-1	0	0	1	-2	0	-1	0	-2	0	1	-2	1	0	-2
LOC729737	0	-1	2	-2	0	0	0	0	-1	0	0	0	1	0	-1	-2	-1	0	-1	-2	1	-1	-1	-1	-2	0	-1	-1	-2	-1	2	-1	0	1	1	1	0	0	0	1	0	0	0	-1	0	0	1	0	0	-1	0	1	0	1	1	1	0	0
LOC100132062	0	0	0	1	0	0	1	1	-1	1	0	0	1	0	0	0	2	1	1	1	1	1	-1	0	1	0	1	1	1	1	2	1	0	1	1	1	0	0	0	1	0	0	1	0	0	2	1	0	0	-1	0	1	0	1	1	1	-1	0
LOC100132287	0	0	0	1	0	0	1	1	-1	1	0	0	1	0	0	0	2	1	1	1	1	1	-1	0	1	0	1	1	1	1	2	1	0	1	1	1	0	0	0	1	0	0	1	0	0	2	1	0	0	-1	0	1	0	1	1	1	-1	0
LOC100133331	0	0	0	1	0	0	1	1	-1	1	0	0	1	0	-1	0	1	0	0	1	0	0	-1	-1	-1	0	1	1	1	1	2	1	-1	1	1	1	0	0	0	1	0	0	0	0	0	2	1	0	0	-1	0	1	0	1	0	1	-1	0
OR4F16	0	0	2	1	0	0	1	1	-1	0	0	0	1	0	-1	0	1	0	0	1	1	-1	-1	-1	0	0	1	1	1	1	2	1	-1	1	1	1	0	0	0	1	0	0	0	-1	0	2	1	0	0	-1	0	1	0	1	0	1	0	0
OR4F29	0	0	2	1	0	0	1	1	-1	0	0	0	1	0	-1	0	1	0	0	1	1	-1	-1	-1	0	0	1	1	1	1	2	1	-1	1	1	1	0	0	0	1	0	0	0	-1	0	2	1	0	0	-1	0	1	0	1	0	1	0	0
OR4F3	0	0	2	1	0	0	1	1	-1	0	0	0	1	0	-1	0	1	0	0	1	1	-1	-1	-1	0	0	1	1	1	1	2	1	-1	1	1	1	0	0	0	1	0	0	0	-1	0	2	1	0	0	-1	0	1	0	1	0	1	0	0
LOC100288069	0	0	2	0	0	0	0	0	-1	0	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	1	0	0	0	1	0	0	0	-1	0	2	1	0	0	-1	0	-1	0	1	-1	1	0	0
LINC00115	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
LOC643837	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
FAM41C	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
LOC100130417	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
SAMD11	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
NOC2L	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	2	0	0
KLHL17	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	2	0	0
PLEKHN1	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	2	0	0
C1orf170	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	2	0	0
HES4	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	2	0	0
ISG15	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
AGRN	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	-2	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
C1orf159	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	-2	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
RNF223	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	-2	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
LOC254099	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
MIR200A	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
MIR200B	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
MIR429	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
TTLL10	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
hsa-mir-200a	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
hsa-mir-200b	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
hsa-mir-429	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
SDF4	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
TNFRSF18	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
TNFRSF4	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
B3GALT6	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
FAM132A	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
UBE2J2	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
SCNN1D	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
ACAP3	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
CPSF3L	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
PUSL1	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
GLTPD1	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	1	-1	1	0	0
TAS1R3	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
DVL1	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
MXRA8	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
AURKAIP1	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
CCNL2	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
ANKRD65	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
LOC148413	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
MRPL20	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
TMEM88B	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
ATAD3C	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
VWA1	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
ATAD3B	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
ATAD3A	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
TMEM240	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
SSU72	0	0	2	0	2	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	-1	0	-1	-1	1	0	0
C1orf233	0	0	2	-1	2	0	0	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	-2	0	0	-1	0	-1	0	-1	-1	1	0	0
CDK11B	0	0	2	-1	2	0	0	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	-2	0	0	-1	0	-1	0	-1	-1	1	0	0
MIB2	0	0	2	-1	2	0	0	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	-2	0	0	-1	0	-1	0	-1	-1	1	0	0
MMP23A	0	0	2	-1	2	0	0	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	-2	0	0	-1	0	-1	0	-1	-1	1	0	0
MMP23B	0	0	2	-1	2	0	0	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	-2	0	0	-1	0	-1	0	-1	-1	1	0	0
SLC35E2B	0	0	2	-1	2	0	0	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	-2	0	0	-1	0	-1	0	-1	-1	1	0	0
CDK11A	0	0	2	-1	2	0	0	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	-2	0	0	-1	0	-1	0	-1	-1	1	0	0
SLC35E2	0	0	2	-1	2	0	0	0	-1	-1	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	-2	0	0	-1	0	-1	0	-1	-1	1	0	0
NADK	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	-2	0	0	-1	0	-1	0	-1	-1	1	0	0
GNB1	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	0	-1	-1	1	0	0
CALML6	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	0	-1	-1	1	0	0
TMEM52	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	0	-1	-1	1	0	0
KIAA1751	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	0	-1	-1	1	0	0
GABRD	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	0	-1	-1	1	0	0
PRKCZ	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	1	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	1	-1	-1	1	0	0
C1orf86	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	1	-1	-1	1	0	0
SKI	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	1	-1	-1	1	0	0
MORN1	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	1	-1	-1	1	0	0
LOC100129534	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	1	-1	-1	1	0	0
RER1	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	1	-1	-1	1	0	0
PEX10	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	1	-1	-1	1	0	0
PLCH2	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	-1	1	0	0
PANK4	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	-1	1	0	0
HES5	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	-1	2	0	0
LOC100133445	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	-1	2	0	0
LOC115110	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	-1	2	0	0
TNFRSF14	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	-1	2	0	0
FAM213B	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	-1	2	0	0
MMEL1	0	0	2	0	0	0	0	0	-1	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-2	0	-1	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	-1	2	0	0
