Alteration	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	M059K_CENTRAL_NERVOUS_SYSTEM	D341MED_CENTRAL_NERVOUS_SYSTEM	SW1783_CENTRAL_NERVOUS_SYSTEM	F5_CENTRAL_NERVOUS_SYSTEM	U178_CENTRAL_NERVOUS_SYSTEM	SF172_CENTRAL_NERVOUS_SYSTEM	DKMG_CENTRAL_NERVOUS_SYSTEM	DAOY_CENTRAL_NERVOUS_SYSTEM	D283MED_CENTRAL_NERVOUS_SYSTEM	H4_CENTRAL_NERVOUS_SYSTEM	NMCG1_CENTRAL_NERVOUS_SYSTEM	CAS1_CENTRAL_NERVOUS_SYSTEM	KNS42_CENTRAL_NERVOUS_SYSTEM	YH13_CENTRAL_NERVOUS_SYSTEM	KNS60_CENTRAL_NERVOUS_SYSTEM	MOGGCCM_CENTRAL_NERVOUS_SYSTEM	GAMG_CENTRAL_NERVOUS_SYSTEM	GOS3_CENTRAL_NERVOUS_SYSTEM	MOGGUVW_CENTRAL_NERVOUS_SYSTEM	X42MGBA_CENTRAL_NERVOUS_SYSTEM	KS1_CENTRAL_NERVOUS_SYSTEM	X1321N1_CENTRAL_NERVOUS_SYSTEM	GMS10_CENTRAL_NERVOUS_SYSTEM	X8MGBA_CENTRAL_NERVOUS_SYSTEM	GI1_CENTRAL_NERVOUS_SYSTEM	SNB19_CENTRAL_NERVOUS_SYSTEM	YKG1_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	T98G_CENTRAL_NERVOUS_SYSTEM	LN18_CENTRAL_NERVOUS_SYSTEM	U118MG_CENTRAL_NERVOUS_SYSTEM	U87MG_CENTRAL_NERVOUS_SYSTEM	A172_CENTRAL_NERVOUS_SYSTEM	HS683_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	LN229_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	KNS81_CENTRAL_NERVOUS_SYSTEM	AM38_CENTRAL_NERVOUS_SYSTEM	GB1_CENTRAL_NERVOUS_SYSTEM	BECKER_CENTRAL_NERVOUS_SYSTEM	SF126_CENTRAL_NERVOUS_SYSTEM	ONS76_CENTRAL_NERVOUS_SYSTEM	SW1088_CENTRAL_NERVOUS_SYSTEM	SNU738_CENTRAL_NERVOUS_SYSTEM	SNU626_CENTRAL_NERVOUS_SYSTEM	SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU489_CENTRAL_NERVOUS_SYSTEM	SNU466_CENTRAL_NERVOUS_SYSTEM	SNU201_CENTRAL_NERVOUS_SYSTEM	KG1C_CENTRAL_NERVOUS_SYSTEM	TM31_CENTRAL_NERVOUS_SYSTEM	U138MG_CENTRAL_NERVOUS_SYSTEM
DDX11L1	1	0	-1	-2	0	2	0	1	0	1	-1	1	0	1	0	0	-1	-1	1	-1	0	1	2	1	0	1	1	0	0	1	-1	-1	1	-1	-1	-1	1	0	1	-1	1	1	-1	1	-1	-2	1	1	0	1	-2	0	-1	0	1
FAM138A	-1	1	-1	-2	-1	0	1	0	0	1	-1	1	-2	-1	0	0	-1	-1	-2	-1	-1	-1	2	1	0	-2	-1	0	0	0	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-2	1	1	0	1	-2	-1	-1	-1	1
FAM138F	-1	1	-1	-2	-1	0	1	0	0	1	-1	1	-2	-1	0	0	-1	-1	-2	-1	-1	-1	2	1	0	-2	-1	0	0	0	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-2	1	1	0	1	-2	-1	-1	-1	1
WASH7P	-1	0	-2	-2	-2	0	-1	1	0	1	-1	1	-2	-1	-1	0	-2	-1	-2	-2	-1	-2	2	1	-1	-2	-2	0	0	0	-1	-1	0	-1	-1	-1	-1	-1	1	-2	1	-1	-2	-1	0	-2	1	1	-1	1	-2	-1	-2	-1	0
hsa-mir-1302-2	-1	0	-2	-2	-2	0	-1	1	0	1	-1	1	-2	-1	-1	0	-2	-1	-2	-2	-1	-2	2	1	-1	-2	-2	0	0	0	-1	-1	0	-1	-1	-1	-1	-1	1	-2	1	-1	-2	-1	0	-2	1	1	-1	1	-2	-1	-2	-1	0
OR4F5	-1	0	-2	-2	-2	0	-1	1	0	1	-1	1	-2	-1	-1	0	-2	-1	-2	-2	-1	-2	2	1	-1	-2	-2	0	0	0	-1	-1	0	-1	-1	-1	-1	-1	1	-2	1	-1	-2	-1	0	-2	1	1	-1	1	-2	-1	-2	-1	0
LOC729737	-1	0	-2	-2	1	0	-1	1	0	1	-1	1	-2	-1	-1	0	1	-1	0	-2	-1	-2	2	1	-1	1	-2	0	0	0	1	-1	0	0	2	1	-1	-1	1	1	1	-1	0	-1	0	-2	1	1	1	1	-1	2	-1	-1	0
LOC100132062	1	1	1	1	1	1	-1	1	0	1	0	1	1	0	-1	0	1	1	1	0	1	1	2	1	1	1	0	0	0	0	1	0	-1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	2	2	-1	-1
LOC100132287	1	1	1	1	1	1	-1	1	0	1	0	1	1	0	-1	0	1	1	1	0	1	1	2	1	1	1	0	0	0	0	1	0	-1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	0	2	2	-1	-1
LOC100133331	1	1	1	1	1	1	-1	1	0	1	0	1	1	-1	-1	0	1	1	1	0	1	1	2	1	1	1	-1	0	0	0	1	1	0	0	0	1	0	0	2	1	1	1	0	1	1	1	0	0	1	1	0	2	1	-1	-1
OR4F16	1	0	0	1	1	0	-1	1	0	1	0	1	1	-1	-1	0	1	1	1	0	1	1	2	1	1	1	-1	0	0	0	1	1	0	0	0	1	0	0	2	1	1	1	0	1	1	1	1	0	1	1	-1	2	2	-1	-1
OR4F29	1	0	0	1	1	0	-1	1	0	1	0	1	1	-1	-1	0	1	1	1	0	1	1	2	1	1	1	-1	0	0	0	1	1	0	0	0	1	0	0	2	1	1	1	0	1	1	1	1	0	1	1	-1	2	2	-1	-1
OR4F3	1	0	0	1	1	0	-1	1	0	1	0	1	1	-1	-1	0	1	1	1	0	1	1	2	1	1	1	-1	0	0	0	1	1	0	0	0	1	0	0	2	1	1	1	0	1	1	1	1	0	1	1	-1	2	2	-1	-1
LOC100288069	0	0	-2	0	1	0	-1	1	0	1	0	1	-2	-1	-1	0	1	1	0	0	1	1	2	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	2	1	1	1	0	0	0	1	-2	-1	1	1	-1	2	-1	-1	0
LINC00115	0	0	-2	0	1	0	-1	-1	0	1	0	1	-2	-1	-2	0	1	1	0	0	1	1	2	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	2	-1	1	1	0	0	0	1	-2	-1	1	1	-1	2	-1	-2	0
LOC643837	0	0	-2	0	1	0	-1	-1	0	1	0	1	-2	-1	-2	0	1	1	0	0	1	1	2	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	2	-1	1	1	0	0	0	1	-2	-1	1	1	-1	2	-1	-2	0
FAM41C	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	1	1	0	0	1	1	2	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	2	-1	1	1	0	0	0	1	-2	-1	1	1	-1	2	-1	-2	0
LOC100130417	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	2	-1	-2	0
SAMD11	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	1	-1	-2	0
NOC2L	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
KLHL17	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
PLEKHN1	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
C1orf170	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
HES4	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
ISG15	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
AGRN	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
C1orf159	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
RNF223	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
LOC254099	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
MIR200A	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
MIR200B	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
MIR429	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
TTLL10	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
hsa-mir-200a	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
hsa-mir-200b	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
hsa-mir-429	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
SDF4	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
TNFRSF18	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
TNFRSF4	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
B3GALT6	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
FAM132A	0	0	-2	0	0	0	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
UBE2J2	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
SCNN1D	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
ACAP3	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
CPSF3L	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
PUSL1	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
GLTPD1	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
TAS1R3	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
DVL1	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
MXRA8	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
AURKAIP1	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
CCNL2	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
ANKRD65	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
LOC148413	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
MRPL20	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
TMEM88B	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
ATAD3C	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
VWA1	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
ATAD3B	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
ATAD3A	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
TMEM240	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
SSU72	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
C1orf233	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-2	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	-1	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
CDK11B	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-2	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	-1	-1	1	0	-1	2	-1	1	1	-2	0	0	1	-2	-1	2	1	-1	-1	-1	-2	0
MIB2	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-2	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	-1	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
MMP23A	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-2	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	-1	-1	1	0	-1	1	-1	1	1	-1	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
MMP23B	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-2	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	-1	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
SLC35E2B	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-2	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	-1	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
CDK11A	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-2	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	-1	-1	1	0	-1	2	-1	1	1	-2	0	0	1	-2	-1	2	1	-1	-1	-1	-2	0
SLC35E2	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-2	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	-1	-1	1	0	-1	2	-1	1	1	-2	0	0	1	-2	-1	2	1	-1	-1	-1	-2	0
NADK	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
GNB1	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-2	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
CALML6	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-1	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
TMEM52	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	-1	0	0	0	-1	1	0	0	-1	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
KIAA1751	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	0	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
GABRD	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-2	0
PRKCZ	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
C1orf86	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
SKI	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
MORN1	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
LOC100129534	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
RER1	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
PEX10	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
PLCH2	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
PANK4	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
HES5	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
LOC100133445	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
LOC115110	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
TNFRSF14	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
FAM213B	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
MMEL1	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
TTC34	0	0	-2	0	0	-2	-1	-1	0	1	0	1	-2	-1	-2	0	0	1	0	-1	1	1	-1	1	0	-2	0	0	0	0	-1	1	0	0	-2	1	0	-1	1	-1	1	1	0	0	0	1	-2	-1	1	1	-1	-1	-1	-1	0
