Alteration	Weight
CBWD3_CNA	0.0204081632653061
FAM27A_CNA	0.0204081632653061
LOC572558_CNA	0.0204081632653061
PGM5P2_CNA	0.0204081632653061
LOC642236_CNA	0.0204081632653061
FAM75A2_CNA	0.0204081632653061
FAM75A4_CNA	0.0204081632653061
LOC642929_CNA	0.0204081632653061
LOC643648_CNA	0.0204081632653061
CBWD6_CNA	0.0204081632653061
FAM75A1_CNA	0.0204081632653061
FAM74A2_CNA	0.0204081632653061
FOXD4L6_CNA	0.0204081632653061
FOXD4L5_CNA	0.0204081632653061
LOC653501_CNA	0.0204081632653061
KGFLP2_CNA	0.0204081632653061
FAM75A3_CNA	0.0204081632653061
FAM75A5_CNA	0.0204081632653061
FAM74A3_CNA	0.0204081632653061
CNTNAP3B_CNA	0.0204081632653061
ANKRD20A4_CNA	0.0204081632653061
FOXD4L2_CNA	0.0204081632653061
LOC100132352_CNA	0.0204081632653061
FAM27C_CNA	0.0204081632653061
FAM95B1_CNA	0.0204081632653061
FAM27B_CNA	0.0204081632653061
LOC100133920_CNA	0.0204081632653061
hsa-mir-873_CNA	0.25
LINGO2_CNA	0.25
MIR876_CNA	0.25
MIR873_CNA	0.25
PTPRD_CNA	1
PTEN_CNA	0.5
KLLN_CNA	0.5
ZMYND11_CNA	0.25
DIP2C_CNA	0.25
TUBB8_CNA	0.25
C10orf108_CNA	0.25
AKR1C2_CNA	1
POLR2L_CNA	0.5
TSPAN4_CNA	0.5
JAM3_CNA	0.5
LOC100128239_CNA	0.5
CNTN5_CNA	1
SPPL3_CNA	1
RB1_CNA	0.5
LPAR6_CNA	0.5
PHF2P1_CNA	1
OR5AU1_CNA	1
B2M_CNA	1
LOC100128714_CNA	1
WWOX_CNA	1
CREBBP_CNA	1
METRNL_CNA	0.5
FLJ43681_CNA	0.5
EVI2A_CNA	0.2
EVI2B_CNA	0.2
NF1_CNA	0.2
OMG_CNA	0.2
MIR4733_CNA	0.2
USP22_CNA	1
NFATC1_CNA	0.1
CTDP1_CNA	0.1
TXNL4A_CNA	0.1
ADNP2_CNA	0.1
KCNG2_CNA	0.1
RBFA_CNA	0.1
PQLC1_CNA	0.1
PARD6G_CNA	0.1
HSBP1L1_CNA	0.1
LOC100130522_CNA	0.1
hsa-mir-1302-11_CNA	0.142857142857143
PPAP2C_CNA	0.142857142857143
OR4F17_CNA	0.142857142857143
WASH5P_CNA	0.142857142857143
FLJ45445_CNA	0.142857142857143
FAM138F_CNA	0.142857142857143
FAM138A_CNA	0.142857142857143
ARHGAP35_CNA	1
PRDM15_CNA	1
USP25_CNA	1
ACR_CNA	0.025
ARSA_CNA	0.025
CHKB_CNA	0.025
CPT1B_CNA	0.025
TYMP_CNA	0.025
