Model_name	TCGA_Type
NCI-H2803	MESO
NCI-H2804	MESO
NCI-H2810	MESO
YKG-1	GBM
YH-13	GBM
VMRC-RCZ	KIRC
VMRC-RCW	KIRC
VMRC-MELG	SKCM
VMRC-LCD	LUAD
TYK-nu	OV
T-T	ESCA
TK	DLBC
TE-9	ESCA
TE-8	ESCA
TE-6	ESCA
MFM-223	BRCA
MFE-319	UCEC
MFE-296	UCEC
MFE-280	UCEC
MEL-JUSO	SKCM
MEL-HO	SKCM
ME-1	LAML
LXF-289	LUAD
LOU-NH91	LUSC
LN-405	GBM
TE-5	ESCA
TE-11	ESCA
TE-10	ESCA
SAT	HNSC
RMG-I	OV
RERF-LC-Sq1	LUSC
RERF-LC-MS	LUAD
RERF-LC-KJ	LUAD
RERF-GC-1B	STAD
RCM-1	READ
PC-3_[JPC-3]	LUAD
P31-FUJ	LAML
TE-1	ESCA
SUIT-2	PAAD
SNG-M	UCEC
SLVL	DLBC
SKN-3	HNSC
SK-MG-1	LGG
SKM-1	LAML
SKG-IIIa	CESC
SF126	GBM
SCH	STAD
SCC-3	DLBC
MHH-PREB-1	DLBC
SU-DHL-10	DLBC
SK-MEL-30	SKCM
SK-GT-2	STAD
SISO	CESC
SIG-M5	LAML
Set2	LAML
SCC90	HNSC
RVH-421	SKCM
RT-112	BLCA
SU-DHL-16	DLBC
SU-DHL-4	DLBC
SU-DHL-5	DLBC
SU-DHL-6	DLBC
YAPC	PAAD
WSU-NHL	DLBC
WSU-DLCL2	DLBC
VM-CUB-1	BLCA
ROS-50	DLBC
VAL	DLBC
TT2609-C02	THCA
SW1710	BLCA
SU-DHL-8	DLBC
U-698-M	DLBC
OVTOKO	OV
NB4	LAML
MOLM-16	LAML
MOLM-13	LAML
ML-2	LAML
NU-DUL-1	DLBC
OCI-AML2	LAML
RC-K8	DLBC
PL-21	LAML
PA-TU-8988T	PAAD
PA-TU-8902	PAAD
OCI-M1	LAML
OCI-LY7	DLBC
OCI-LY-19	DLBC
OCI-AML5	LAML
OCI-AML3	LAML
OVMIU	OV
OVKATE	OV
QIMR-WIL	LAML
PSN1	PAAD
PEO1	OV
OV-7	OV
OV-56	OV
OV-17R	OV
OE21	ESCA
OAW-42	OV
OAW-28	OV
TT	THCA
EBC-1	LUSC
CCK-81	COAD
CaR-1	READ
Ca9-22	HNSC
Becker	LGG
ASH-3	THCA
AM-38	GBM
ABC-1	LUAD
A3-KAW	DLBC
HTC-C3	THCA
SNU-C5	COAD
22RV1	PRAD
FU97	STAD
MOG-G-UVW	LGG
MIA-PaCa-2	PAAD
COR-L32	LUSC
COR-L105	LUAD
COLO-800	SKCM
MZ7-mel	SKCM
NCI-H3118	HNSC
NCI-H290	MESO
NCI-H2869	MESO
NCI-H2818	MESO
MDST8	COAD
MDA-MB-361	BRCA
MDA-MB-157	BRCA
HuP-T4	PAAD
MOG-G-CCM	LGG
HuP-T3	PAAD
HT-115	COAD
GP5d	COAD
HT55	COAD
D-392MG	GBM
GAK	SKCM
Mewo	SKCM
LK-2	LUSC
KYSE-50	ESCA
KYSE-220	ESCA
KY821	LAML
KURAMOCHI	OV
KS-1	GBM
MKN7	STAD
MRK-nu-1	BRCA
OVISE	OV
OCUM-1	STAD
NUGC-4	STAD
KP-3	PAAD
NUGC-3	STAD
no-11	GBM
no-10	GBM
NMC-G1	LGG
NKM-1	LAML
NOMO-1	LAML
GB-1	GBM
KP-2	PAAD
KP-1N	PAAD
HuH-7	LIHC
huH-1	LIHC
HuCCT1	CHOL
HEL	LAML
HEC-1	UCEC
HCC-56	COAD
HARA	LUSC
IHH-4	THCA
IM-95	STAD
KOSC-2	HNSC
KNS-62	LUSC
KNS-42	GBM
KMRC-20	KIRC
KMRC-1	KIRC
KINGS-1	LGG
KALS-1	GBM
JHH-7	LIHC
JHH-6	LIHC
JHH-4	LIHC
JHH-2	LIHC
JHH-1	LIHC
KMH-2	THCA
D-336MG	GBM
ME-180	CESC
MDA-MB-468	BRCA
MDA-MB-436	BRCA
MDA-MB-415	BRCA
MDA-MB-330	BRCA
MDA-MB-175-VII	BRCA
MC116	DLBC
MS751	CESC
MSTO-211H	MESO
NCI-H1395	LUAD
NCI-H1355	LUAD
MV-4-11	LAML
M059J	GBM
LS-411N	COAD
HT	DLBC
Hs-940-T	SKCM
Hs-939-T	SKCM
Hs-766T	PAAD
Hs746T	STAD
Hs-683	LGG
HCC1428	BRCA
HPAF-II	PAAD
HPAC	PAAD
Hep3B2-1-7	LIHC
HCC70	BRCA
HCC38	BRCA
HT-1197	BLCA
LS-513	COAD
HT-1376	BLCA
HT-3	CESC
LS-180	COAD
LS-1034	COAD
LNCaP-Clone-FGC	PRAD
LN-229	GBM
LN-18	GBM
KLE	UCEC
KATOIII	STAD
JSC-1	DLBC
JM1	DLBC
JHU-029	HNSC
J82	BLCA
HT-144	SKCM
NCI-H2122	LUAD
NCI-H2087	LUAD
NCI-H2066	LUSC
NCI-H2052	MESO
NCI-H2030	LUAD
NCI-H2170	LUSC
NCI-H358	LUAD
NCI-H28	MESO
NCI-H2452	MESO
NCI-H2405	LUAD
NCI-H2347	LUAD
NCI-H2342	LUAD
NCI-H2291	LUAD
NCI-H2228	LUAD
D-263MG	GBM
NCI-H1437	LUAD
HCC1419	BRCA
NCI-H1755	LUAD
NCI-H1734	LUAD
NCI-H1703	LUSC
NCI-H1693	LUAD
NCI-H1666	LUAD
NCI-H1651	LUAD
NCI-H1650	LUAD
NCI-H1648	LUAD
NCI-H1623	LUAD
NCI-H1573	LUAD
NCI-H1568	LUAD
NCI-H1563	LUAD
NCI-H1781	LUAD
NCI-H1793	LUAD
NCI-H2009	LUAD
NCI-H1993	LUAD
NCI-H1975	LUAD
NCI-H1944	LUAD
NCI-H1838	LUAD
NCI-H1792	LUAD
HCC2218	BRCA
HCC2157	BRCA
LS-123	COAD
NCI-H508	COAD
NCI-H747	COAD
NCI-H716	COAD
SNU-C2B	COAD
T84	COAD
HCT-116	COAD
KG-1-C	LGG
KG-1	LAML
HCT-15	COAD
A375	SKCM
A253	HNSC
A2058	SKCM
A172	GBM
A101D	SKCM
769-P	KIRC
5637	BLCA
CRO-AP2	DLBC
RPMI-2650	HNSC
A427	LUAD
SW1417	COAD
UWB1.289	OV
RCC-MF	KIRC
RCC-JW	KIRC
RCC-JF	KIRC
RCC-FG2	KIRC
RCC-ER	KIRC
RCC-AB	KIRC
COLO-205	COAD
HL-60	LAML
Detroit562	HNSC
SW948	COAD
SW837	READ
SW1463	READ
SW1116	COAD
SW403	COAD
SW48	COAD
LoVo	COAD
SW620	COAD
COLO-320-HSR	COAD
HeLa	CESC
A704	KIRC
AGS	STAD
H4	LGG
G-361	SKCM
Farage	DLBC
FADU	HNSC
ES-2	OV
DoTc2-4510	CESC
HCC1143	BRCA
DBTRG-05MG	GBM
HCC202	BRCA
HCC1954	BRCA
HCC1937	BRCA
HCC1806	BRCA
HCC1599	BRCA
HCC1569	BRCA
HCC1500	BRCA
HCC1395	BRCA
HCC1187	BRCA
DB	DLBC
C-33-A	CESC
C32	SKCM
BT-483	BRCA
BT-20	BRCA
BC-3	DLBC
BC-1	DLBC
AU565	BRCA
AsPC-1	PAAD
AN3-CA	UCEC
JHU-028	LUAD
A549	LUAD
C-4-I	CESC
COLO-829	SKCM
CESS	LAML
Caov-4	OV
Caov-3	OV
CAMA-1	BRCA
Calu-3	LUAD
Ca-Ski	CESC
NCI-H441	LUAD
CAL-85-1	BRCA
CAL-62	THCA
CAL-54	KIRC
CAL-51	BRCA
CAPAN-1	PAAD
CAL-29	BLCA
CAL-148	BRCA
CAL-120	BRCA
CAKI-1	KIRC
Capan-2	PAAD
CL-11	COAD
CL-34	COAD
DK-MG	GBM
DAN-G	PAAD
COLO-824	BRCA
COLO-783	SKCM
COLO-680N	ESCA
COLO-678	COAD
CMK	LAML
CL-40	COAD
BT-474	BRCA
OVCA433	OV
OVCA420	OV
Hey	OV
DOV13	OV
DSH1	BLCA
ZR-75-30	BRCA
WM793B	SKCM
WM35	SKCM
WM278	SKCM
WM1552C	SKCM
23132-87	STAD
DOHH-2	DLBC
42-MG-BA	GBM
647-V	BLCA
BHT-101	THCA
BFTC-909	KIRC
BFTC-905	BLCA
BCPAP	THCA
8505C	THCA
8305C	THCA
8-MG-BA	GBM
639-V	BLCA
WM-115	SKCM
DU-4475	BRCA
EFM-192A	BRCA
KASUMI-1	LAML
KARPAS-422	DLBC
KARPAS-1106P	DLBC
JVM-3	DLBC
JVM-2	DLBC
KARPAS-231	DLBC
KMOE-2	LAML
MONO-MAC-6	LAML
KYSE-70	ESCA
KYSE-520	ESCA
KYSE-510	ESCA
KYSE-450	ESCA
KYSE-410	ESCA
KYSE-270	ESCA
KYSE-180	ESCA
KYSE-150	ESCA
KYSE-140	ESCA
