Alteration	Weight
LOC642236_CNA	0.0204081632653061
FAM75A2_CNA	0.0204081632653061
FAM75A4_CNA	0.0204081632653061
LOC642929_CNA	0.0204081632653061
LOC643648_CNA	0.0204081632653061
CBWD6_CNA	0.0204081632653061
FAM75A1_CNA	0.0204081632653061
FAM74A2_CNA	0.0204081632653061
FOXD4L6_CNA	0.0204081632653061
FOXD4L5_CNA	0.0204081632653061
LOC653501_CNA	0.0204081632653061
KGFLP2_CNA	0.0204081632653061
FAM75A3_CNA	0.0204081632653061
FAM75A5_CNA	0.0204081632653061
FAM74A3_CNA	0.0204081632653061
CNTNAP3B_CNA	0.0204081632653061
ANKRD20A4_CNA	0.0204081632653061
FOXD4L2_CNA	0.0204081632653061
LOC100132352_CNA	0.0204081632653061
FAM27C_CNA	0.0204081632653061
FAM95B1_CNA	0.0204081632653061
FAM27B_CNA	0.0204081632653061
LOC100133920_CNA	0.0204081632653061
MIR4669_CNA	1
PTPRD_CNA	1
PTEN_CNA	0.5
KLLN_CNA	0.5
CYP2E1_CNA	0.0769230769230769
DUX4_CNA	0.0769230769230769
DUX2_CNA	0.0769230769230769
SYCE1_CNA	0.0769230769230769
SPRNP1_CNA	0.0769230769230769
FRG2B_CNA	0.0769230769230769
SPRN_CNA	0.0769230769230769
LOC619207_CNA	0.0769230769230769
DUX4L7_CNA	0.0769230769230769
DUX4L6_CNA	0.0769230769230769
DUX4L5_CNA	0.0769230769230769
DUX4L3_CNA	0.0769230769230769
DUX4L2_CNA	0.0769230769230769
RBM7_CNA	1
RNH1_CNA	1
hsa-mir-612_CNA	0.0161290322580645
hsa-mir-194-2_CNA	0.0161290322580645
ARL2_CNA	0.0161290322580645
C11orf2_CNA	0.0161290322580645
MRPL49_CNA	0.0161290322580645
ZNHIT2_CNA	0.0161290322580645
CAPN1_CNA	0.0161290322580645
CFL1_CNA	0.0161290322580645
CTSW_CNA	0.0161290322580645
FAU_CNA	0.0161290322580645
LTBP3_CNA	0.0161290322580645
MAP3K11_CNA	0.0161290322580645
OVOL1_CNA	0.0161290322580645
PPP2R5B_CNA	0.0161290322580645
RELA_CNA	0.0161290322580645
DPF2_CNA	0.0161290322580645
SIPA1_CNA	0.0161290322580645
TM7SF2_CNA	0.0161290322580645
ZFPL1_CNA	0.0161290322580645
FOSL1_CNA	0.0161290322580645
FIBP_CNA	0.0161290322580645
NAALADL1_CNA	0.0161290322580645
KCNK7_CNA	0.0161290322580645
CDC42EP2_CNA	0.0161290322580645
KAT5_CNA	0.0161290322580645
SSSCA1_CNA	0.0161290322580645
EHD1_CNA	0.0161290322580645
CCDC85B_CNA	0.0161290322580645
ATG2A_CNA	0.0161290322580645
FAM89B_CNA	0.0161290322580645
POLA2_CNA	0.0161290322580645
SAC3D1_CNA	0.0161290322580645
