Sample_ID	Coordinate1	Coordinate2	Sample_Type
CALU3_LUNG	0.11723805109271	0.00927160240798969	Cell_Line
DV90_LUNG	0.592058832182495	0.683560556726996	Cell_Line
HCC2279_LUNG	-0.213197477827098	-0.388136086030549	Cell_Line
HCC4006_LUNG	0.0511881709307252	-0.0560929057630128	Cell_Line
HCC44_LUNG	-0.326342320885935	0.0971971682479323	Cell_Line
HCC78_LUNG	0.30832052659057	0.0407111924347608	Cell_Line
HCC827_LUNG	-0.162788816660136	-0.385415127638526	Cell_Line
HS229T_LUNG	1.70150413037073	0.692946106745695	Cell_Line
HS618T_LUNG	1.78431193586461	0.458048752011277	Cell_Line
LXF289_LUNG	-0.0918330226107415	-0.136211253764219	Cell_Line
MORCPR_LUNG	-0.507418028249899	0.646850423954707	Cell_Line
NCIH1355_LUNG	0.148847053000833	0.426180837515723	Cell_Line
NCIH1373_LUNG	-0.0861319100003164	-0.215308303712731	Cell_Line
NCIH1437_LUNG	-0.275513676714138	-0.23749104262074	Cell_Line
NCIH1563_LUNG	-0.390021411068305	-0.348556416080213	Cell_Line
NCIH1573_LUNG	0.198191390313566	-0.334500605655584	Cell_Line
NCIH1623_LUNG	-0.370336418423951	-0.185670757665789	Cell_Line
NCIH1648_LUNG	-0.404545741140935	0.241897013264666	Cell_Line
NCIH1651_LUNG	-0.404456287328001	-0.093900048267582	Cell_Line
NCIH1693_LUNG	-0.124431792238934	-0.287740548003958	Cell_Line
NCIH1703_LUNG	-0.827869383770503	0.655297727167887	Cell_Line
NCIH1734_LUNG	-0.411048732246461	0.0831582545815741	Cell_Line
NCIH1755_LUNG	-0.500136591677076	-0.216916775720736	Cell_Line
NCIH1792_LUNG	0.0746311217048723	0.10771282955478	Cell_Line
NCIH2009_LUNG	-0.25076492926588	0.166978333770186	Cell_Line
NCIH2023_LUNG	-0.155847399516927	-0.046792324011853	Cell_Line
NCIH2073_LUNG	-0.301622488772735	0.325965766249	Cell_Line
NCIH2087_LUNG	0.130645593584546	-0.145617704384223	Cell_Line
NCIH2122_LUNG	-0.316907749230646	0.0330688957775759	Cell_Line
NCIH2126_LUNG	-0.371236067359467	0.0573402392256708	Cell_Line
NCIH2228_LUNG	0.121487775955461	-0.0251817116181932	Cell_Line
NCIH2291_LUNG	0.00494930932289018	-0.195375677348166	Cell_Line
NCIH2342_LUNG	-0.343079868903856	-0.255529971885178	Cell_Line
NCIH2347_LUNG	0.229779833902622	0.0265618331661806	Cell_Line
NCIH2405_LUNG	0.0739350171474139	-0.517635211153004	Cell_Line
NCIH3255_LUNG	-0.149753004938985	0.0416276810786701	Cell_Line
NCIH441_LUNG	0.0445677080404205	-0.0792380054226978	Cell_Line
NCIH854_LUNG	-0.445605630608307	0.16249072822642	Cell_Line
RERFLCAD1_LUNG	-0.210971133890873	-0.117440141202266	Cell_Line
RERFLCAD2_LUNG	0.105903530138886	-0.0757668797128214	Cell_Line
SKLU1_LUNG	-0.301848328728378	-0.0527367308692639	Cell_Line
VMRCLCD_LUNG	-0.134468761624358	-0.0769116487147995	Cell_Line
TCGA.05.4244	0.0524624385087223	0.223820014693232	Tumor
TCGA.05.4249	-0.18419021434549	-0.506388333757689	Tumor
TCGA.05.4250	0.0684650150518004	-0.025902545572317	Tumor
TCGA.05.4382	-0.880866505261359	-0.0402114793417822	Tumor
TCGA.05.4384	0.770803962224755	-0.100006808042571	Tumor
TCGA.05.4389	-0.351736357829385	0.00728881426097538	Tumor
TCGA.05.4390	-0.266404027379594	0.0849833757650774	Tumor
TCGA.05.4395	-0.0727812561284333	0.000548272430296297	Tumor
TCGA.05.4396	0.540884629773901	-0.439542566509065	Tumor
TCGA.05.4397	-0.375314277411074	-1.07209393185636	Tumor
TCGA.05.4398	-0.214112578048334	0.193092638418302	Tumor
TCGA.05.4402	-0.0936719181503042	-0.0568259357312074	Tumor
TCGA.05.4403	1.58088390794758	-0.408590960898799	Tumor
TCGA.05.4405	-0.00778246229749609	0.146024988302449	Tumor
TCGA.05.4410	-0.279006489391893	0.130129155109001	Tumor
TCGA.05.4415	-0.0322174124607602	0.00551705919612265	Tumor
TCGA.05.4417	-0.280566776372164	0.213269812281206	Tumor
TCGA.05.4418	-0.505591284391344	0.0602097935782122	Tumor
TCGA.05.4420	-0.323629977970016	0.136126589966402	Tumor
TCGA.05.4422	0.699703981689998	-0.550703309781892	Tumor
TCGA.05.4424	-0.141179543499086	-0.194003814862157	Tumor
TCGA.05.4425	-0.693843779626217	-0.554766299538589	Tumor
TCGA.05.4426	0.535644189015242	-0.867622726287693	Tumor
TCGA.05.4427	-0.390577790735675	-0.525137190689889	Tumor
TCGA.05.4430	0.0438406853219134	0.481966350601758	Tumor
TCGA.05.4432	-0.478450913074158	-0.0219957019737439	Tumor
TCGA.05.4433	0.506994022243578	-0.719598457320211	Tumor
TCGA.05.4434	0.205494396809454	-1.16240479652295	Tumor
TCGA.05.5420	0.381059822041465	-0.154962320619912	Tumor
TCGA.05.5423	-0.0293386889416298	0.313675073962322	Tumor
TCGA.05.5425	-0.0678015252596076	0.0299416529076913	Tumor
TCGA.05.5428	-0.490394628079465	0.0890995507298192	Tumor
TCGA.05.5429	0.755623478884104	0.0247165868309418	Tumor
TCGA.05.5715	0.54037218678887	-0.422341275526233	Tumor
TCGA.35.3615	0.377392694569471	1.11005181065261	Tumor
TCGA.35.4122	-0.286730310361538	-0.230179003254347	Tumor
TCGA.35.4123	-0.0305495988198714	0.0725355279338308	Tumor
TCGA.35.5375	-0.160890054777394	0.0792083361174053	Tumor
